ID,Name,Parameter,Language,Frequency,Confidence,References
4-420-179-1,uger,udder,Romanian,,,
4-430-179-1,buric,navel,Romanian,,,
4-440-179-1,inima_,heart,Romanian,,,
4-450-179-1,ficat,liver,Romanian,,,
4-460-179-1,pi_ntece,stomach,Romanian,,,
4-460-179-3,stomac,stomach,Romanian,,,
4-470-179-1,pi_ntece,womb,Romanian,,,
4-490-179-1,testicul,testicle,Romanian,,,
4-490-179-3,bos_,testicle,Romanian,,,
4-490-179-5,coi___,testicle,Romanian,,,
4-492-179-1,put___,penis,Romanian,,,
4-510-179-1,ra_sufla,"breathe, breath",Romanian,,,
4-510-179-3,ra_suflare,"breathe, breath",Romanian,,,
4-520-179-1,ca_sca,"yawn, gape",Romanian,,,
4-530-179-1,tus_i,cough,Romanian,,,
4-540-179-1,stra_nuta,sneeze,Romanian,,,
4-550-179-1,sudoare,perspire,Romanian,,,
4-550-179-3,na_du__eal__,perspire,Romanian,,,
4-560-179-1,scuipa,spit,Romanian,,,
4-570-179-1,va_rsa,vomit,Romanian,,,
4-570-179-3,vomita,vomit,Romanian,,,
4-580-179-1,mus_ca,bite,Romanian,,,
4-590-179-1,linge,lick,Romanian,,,
4-610-179-1,dormi,sleep,Romanian,,,
4-610-179-3,somn,sleep,Romanian,,,
4-620-179-1,vis,dream,Romanian,,,
4-630-179-1,des_tepta,wake up,Romanian,,,
4-640-179-1,ba___i,break wind,Romanian,,,
4-650-179-1,urina,urinate,Romanian,,,
4-650-179-3,pis_a,urinate,Romanian,,,
4-660-179-1,ca_ca,defecate,Romanian,,,
4-660-179-3,ca_cat,defecate,Romanian,,,
4-670-179-1,fute,have sexual intercourse,Romanian,,,
4-710-179-1,nas_te,beget (of father),Romanian,,,
4-720-179-1,nas_te,born (to be),Romanian,,,
4-730-179-1,i_ns__rcinat__,pregnant,Romanian,,,
4-730-179-3,grea,pregnant,Romanian,,,
4-740-179-1,tra_i,"live, living, life",Romanian,,,
4-740-179-3,viet_ui,"live, living, life",Romanian,,,
4-740-179-5,viu,"live, living, life",Romanian,,,
4-740-179-7,i_n via____,"live, living, life",Romanian,,,
4-740-179-9,viat___,"live, living, life",Romanian,,,
4-750-179-1,muri,"die, dead",Romanian,,,
4-750-179-3,mort,"die, dead",Romanian,,,
4-750-179-5,moarte,"die, dead",Romanian,,,
4-760-179-1,omori_,kill,Romanian,,,
4-760-179-3,ucide,kill,Romanian,,,
4-770-179-1,cadavru,corpse,Romanian,,,
4-770-179-3,les_,corpse,Romanian,,,
4-780-179-1,i_nmormîntag,bury (the dead),Romanian,,,
4-780-179-3,i_ngropa,bury (the dead),Romanian,,,
4-790-179-1,mormi_nt,"grave, tomb",Romanian,,,
4-790-179-3,groapa_,"grave, tomb",Romanian,,,
4-810-179-1,tare,"strong, mighty, powerful",Romanian,,,
4-810-179-3,puternic,"strong, mighty, powerful",Romanian,,,
4-820-179-1,slab,weak,Romanian,,,
4-830-179-1,sa_n__tos,"well, health",Romanian,,,
4-830-179-3,sa_n__tate,"well, health",Romanian,,,
4-840-179-1,bolnav,"sick, sickness",Romanian,,,
4-840-179-3,boala_,"sick, sickness",Romanian,,,
4-850-179-1,rana_,"wound, sore",Romanian,,,
4-860-179-1,vindeca,"cure, heal",Romanian,,,
4-860-179-3,ta_m__dui,"cure, heal",Romanian,,,
4-870-179-1,medic,physician,Romanian,,,
4-880-179-1,medicament,"medicine, drug",Romanian,,,
4-880-179-3,leac,"medicine, drug",Romanian,,,
4-880-179-5,doctorie,"medicine, drug",Romanian,,,
4-890-179-1,otrava_,poison,Romanian,,,
4-890-179-3,venin,poison,Romanian,,,
4-910-179-1,obosit,"tired, weary",Romanian,,,
4-920-179-1,lenes_,lazy,Romanian,,,
4-920-179-3,tri_ndav,lazy,Romanian,,,
4-930-179-1,chel,bald,Romanian,,,
4-930-179-3,ples_uv,bald,Romanian,,,
4-940-179-1,s_chiop,lame,Romanian,,,
4-950-179-1,surd,deaf,Romanian,,,
4-960-179-1,mut,mute,Romanian,,,
4-970-179-1,orb,blind,Romanian,,,
4-980-179-1,beat,intoxicated,Romanian,,,
4-990-179-1,gol,"naked, bare",Romanian,,,
5-110-179-1,mi_nca,eat,Romanian,,,
5-120-179-1,hrana_,food,Romanian,,,
5-120-179-3,mi_ncare,food,Romanian,,,
5-130-179-1,bea,drink,Romanian,,,
5-140-179-1,foame,hunger,Romanian,,,
