ID,Name,Parameter,Language,Frequency,Confidence,References
4-690-131-1,fürdik,bathe,Hungarian,,,
4-710-131-1,születik,beget (of father),Hungarian,,,
4-720-131-1,szül,born (to be),Hungarian,,,
4-730-131-1,terhes,pregnant,Hungarian,,,
4-730-131-3,állapotos,pregnant,Hungarian,,,
4-732-131-1,teherbe esik,conceive,Hungarian,,,
4-740-131-1,él,"live, living, life",Hungarian,,,
4-740-131-3,él_,"live, living, life",Hungarian,,,
4-740-131-5,élet,"live, living, life",Hungarian,,,
4-750-131-1,meghal,"die, dead",Hungarian,,,
4-750-131-3,halott,"die, dead",Hungarian,,,
4-751-131-1,vízbefúlt,drowned,Hungarian,,,
4-760-131-1,megöl,kill,Hungarian,,,
4-770-131-1,hulla,corpse,Hungarian,,,
4-770-131-3,tetem,corpse,Hungarian,,,
4-780-131-1,eltemet,bury (the dead),Hungarian,,,
4-790-131-1,sír,"grave, tomb",Hungarian,,,
4-810-131-1,er_s,"strong, mighty, powerful",Hungarian,,,
4-810-131-3,hatalmas,"strong, mighty, powerful",Hungarian,,,
4-820-131-1,gyenge,weak,Hungarian,,,
4-830-131-1,egészséges,"well, health",Hungarian,,,
4-830-131-3,egészség,"well, health",Hungarian,,,
4-840-131-1,beteg,"sick, sickness",Hungarian,,,
4-840-131-3,betegség,"sick, sickness",Hungarian,,,
4-841-131-1,láz,fever,Hungarian,,,
4-842-131-1,golyva,goiter,Hungarian,,,
4-843-131-1,megh_lés,cold (catarrh),Hungarian,,,
4-850-131-1,seb,"wound, sore",Hungarian,,,
4-852-131-1,kék folt,bruise,Hungarian,,,
4-852-131-3,véraláfutás,bruise,Hungarian,,,
4-853-131-1,feldagad ~ felpuffad,swelling,Hungarian,,,
4-854-131-1,viszketés,itch,Hungarian,,,
4-855-131-1,(víz)hólyag,blister,Hungarian,,,
4-856-131-1,kelés,boil (noun),Hungarian,,,
4-856-131-3,tályog,boil (noun),Hungarian,,,
4-857-131-1,genny,pus,Hungarian,,,
